"N_subj","N_obs","cell_1","cell_2","alpha","beta","run","grand_mean","model_effect","model_se","BF_1","BF_2","BF_1_cat","BF_2_cat"
40,20,0,0,0,0,1,0.0347469674354673,0.0222375782223207,0.232186239156177,1.00027186275327,0.988750978292361,5,5
40,20,0,0,0,0,2,0.0316168993532511,0.0623505083314564,0.179419310533089,1.03413347914931,0.996777473437905,5,5
40,20,0,0,0,0,3,0.118732759624907,-0.17517225276265,0.20803210283292,0.640194928646257,0.667394454576293,5,5
40,20,0,0,0,0,4,0.0211310306800173,0.106899842089289,0.202409092572,1.03973225222222,1.04069930033039,5,5
40,20,0,0,0,0,5,0.156748521303932,-0.21036155445491,0.167207700873099,0.410341781316771,0.425169383587637,5,5
40,20,0,0,0,0,6,0.072961210320791,-0.237178746310059,0.176624841088121,0.64033091568828,0.659640492112201,5,5
40,20,0,0,0,0,7,0.0267802233837577,0.0317004061060878,0.187693976495354,1.00908484790559,1.00425488545637,5,5
40,20,0,0,0,0,8,0.013259272326932,0.0535375032858888,0.179159103852928,1.01503760444045,1.02870408718364,5,5
40,20,0,0,0,0,9,0.00623911439634,0.238935875161318,0.174876973883359,1.03934712130415,1.05034357127907,5,5
40,20,0,0,0,0,10,0.0453319611585662,-0.630611709289458,0.231513132599423,0.67667877980033,0.701367846548656,5,5
40,20,0,1,0.5,1,1,0.47333475631454,0.514131338070463,0.188508352829949,18.2005229903491,15.1302849484069,7,7
40,20,0,1,0.5,1,2,0.644154473844536,0.964151280416607,0.191484771278935,65299.7263672766,6599.12542387228,9,9
40,20,0,1,0.5,1,3,0.619237163620465,0.967862391562506,0.195342171071563,42344.9034781291,3967.85937158343,9,9
40,20,0,1,0.5,1,4,0.573120406284101,1.03826543718156,0.223017519667045,8889.58437524735,1153.73069370491,9,9
40,20,0,1,0.5,1,5,0.494967223497406,0.756136360611292,0.228442701343414,76.7076025125285,40.8214375906728,8,8
40,20,0,1,0.5,1,6,0.650195915457813,0.966747737056068,0.170727967452283,1660292.83302021,55834.3150881503,9,9
40,20,0,1,0.5,1,7,0.204090046824714,0.64306962394133,0.187694611718041,32.4221245325151,18.5674983867472,8,7
40,20,0,1,0.5,1,8,0.581732340307488,1.2082827594546,0.173167480267764,2930681492.25952,1643641.89250155,9,9
40,20,0,1,0.5,1,9,0.394687272244784,0.917702281394902,0.202876907175666,2983.90643489025,490.263558736895,9,9
40,20,0,1,0.5,1,10,0.560899547719377,0.927697224858642,0.176384697235839,175198.561227097,11317.1537548102,9,9
40,20,0,2,1,2,1,1.05244643830564,2.04299317950238,0.220706746236067,272155571961797536,144924985752.104,9,9
40,20,0,2,1,2,2,0.909314745942442,1.69199988037847,0.245921214779729,1983070283.9707,2208565.40086605,9,9
40,20,0,2,1,2,3,0.967954654675238,1.87287255333256,0.237210554654628,2794330729152.02,141581983.653609,9,9
40,20,0,2,1,2,4,0.990960721308557,2.40572121749913,0.248226734313445,7575213602922835968,816347329946.8,9,9
40,20,0,2,1,2,5,0.892961790644571,1.89366844126474,0.19872420516692,2657750343563720704,30544448313.6393,9,9
40,20,0,2,1,2,6,0.982269687634959,1.98497113372132,0.206462800391861,6876295260498382848,311934018460.892,9,9
40,20,0,2,1,2,7,1.06312122453373,2.08440335165828,0.237717422465771,3476550171206103,10418798086.2698,9,9
40,20,0,2,1,2,8,0.843003600634343,1.71488408033226,0.241345967962518,7459447124.34306,1581792.62204833,9,9
40,20,0,2,1,2,9,1.18750904204939,1.84988866112936,0.240880707117844,796165715993.807,404920871.949837,9,9
40,20,0,2,1,2,10,1.11995909450474,2.51457022213971,0.33200885887586,160486551133.406,47651251.9327312,9,9
40,20,0,3,1.5,3,1,1.34744913074046,3.24273843091818,0.439295172361598,30680793456.5771,640418881.429068,9,9
40,20,0,3,1.5,3,2,1.41033153075613,3.09173698348297,0.353447724134049,2086333345618508,645436264352.484,9,9
40,20,0,3,1.5,3,3,1.20982893874789,2.68364899846906,0.221634926967165,2.29441981331857e+30,91025168699376.4,9,9
40,20,0,3,1.5,3,4,1.69280140853968,2.56059525770768,0.393847172377983,230565599.343346,302441952.100777,9,9
40,20,0,3,1.5,3,5,1.38476240424172,3.08256607799959,0.345112193599948,9924171627731824,132087983428357,9,9
40,20,0,3,1.5,3,6,1.91551467413811,3.12395491766975,0.392950063778574,5957065284213.15,3096737473.6343,9,9
40,20,0,3,1.5,3,7,1.42619554966925,2.59911333455925,0.281684049093177,240390396795046144,6046534935.74834,9,9
40,20,0,3,1.5,3,8,1.43298275376359,2.74121907031398,0.333226672811073,39457057228547.3,623575385064.169,9,9
40,20,0,3,1.5,3,9,1.47824592966031,2.89386299184805,0.344218956173674,163687839029410,37331071125709.5,9,9
40,20,0,3,1.5,3,10,1.63062907170388,3.0570061218297,0.42281429994763,21680270144.5266,52525486294696.1,9,9
40,20,1,0,0.5,-1,1,0.58627639227813,-0.931134417407455,0.216859711998697,0.0669889299516257,0.098458030549246,3,3
40,20,1,0,0.5,-1,2,0.478729882999107,-0.63955795009027,0.175614208832085,0.072936326093996,0.10626014989561,3,4
40,20,1,0,0.5,-1,3,0.473643165406838,-0.927022650113854,0.219487288169882,0.0806916494780159,0.127672202215882,3,4
40,20,1,0,0.5,-1,4,0.682496574421993,-0.705817787193931,0.174073943541816,0.049348500836599,0.0658962443268965,3,3
