"N_subj","N_obs","cell_1","cell_2","cell_3","cell_4","alpha","beta1","beta2","beta3","run","model_grand_mean","model_beta1","model_beta3","model_beta3_se","singular","conv_error","BF_GM","BF_GM_cat","BF_ME","BF_ME_cat"
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,1,0.295419503451948,2.82607134176219,-0.431919102914836,0.386458011054264,"N","N",0.294984436102294,4,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,2,0.174863557307505,2.82607134176219,0.38837220778347,0.356522508595748,"N","N",1.48345041888631,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,3,0.206785758375014,2.82607134176219,0.277146822215752,0.380390087802792,"N","N",1.10092427088853,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,4,0.183993717182804,2.82607134176219,-0.105205583989099,0.364924414492376,"N","N",0.603217634027473,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,5,0.221867611680361,2.82607134176219,0.505221619843144,0.297475158959176,"N","N",2.77735987514025,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,6,0.184573776953229,2.82607134176219,0.275357843168868,0.37022622133377,"N","N",1.13811395641549,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,7,0.20283525420898,2.82607134176219,-0.313716805695757,0.386038584333141,"N","N",0.456938489893532,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,8,0.318918504615582,2.82607134176219,-0.969280512652816,0.430898986683471,"N","N",0.199823471985037,4,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,9,0.185817136107823,2.82607134176219,-0.555325135643906,0.386681181277193,"N","N",0.376915323003267,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,10,0.319944420974802,2.82607134176219,-0.15634257264457,0.365413981329944,"N","N",0.376128791155539,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,11,0.391912665550145,2.82607134176219,0.563099472207065,0.476273743491579,"N","N",1.45918474604373,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,12,0.227288819081103,2.82607134176219,0.208304734837574,0.409095003145984,"N","N",0.930689913305931,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,13,0.270348780222691,2.82607134176219,-0.415107425236275,0.401837245593806,"N","N",0.341071627109722,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,14,0.198528826961992,2.82607134176219,0.383181911286755,0.436297301831388,"N","N",1.27266962699498,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,15,0.222402666535329,2.82607134176219,0.559847482890609,0.319108090149474,"N","N",2.96842448882451,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,16,0.179015090034127,2.82607134176219,-0.688183082875628,0.386623951651244,"N","N",0.346626226307155,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,17,0.328454674340221,2.82607134176219,-0.166152573648358,0.480150892467022,"N","N",0.479607832488847,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,18,0.386785118861015,2.82607134176219,0.272470931298429,0.42593358186104,"N","N",0.803644574568015,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,19,0.038525429722352,2.82607134176219,0.149953775436721,0.453656291879737,"N","N",1.03103696498988,5,"skip",NA
40,20,0.5,0.5,0,0,0.25,-0.5,0,0,20,0.308001179523423,2.82607134176219,0.364530468115611,0.374484308997184,"Y","N",1.17093623439546,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,1,0.455096616915581,2.82607134176219,0.325729535576537,0.340815744880717,"N","N",0.852481179748824,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,2,0.316091940121764,2.82607134176219,0.134824667553456,0.326240196611993,"N","N",0.631899123149477,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,3,0.455089314215399,2.82607134176219,0.299848843754739,0.446269801390136,"N","N",0.768157811127046,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,4,0.213542816487191,2.82607134176219,0.188838458173924,0.417259333588407,"N","N",0.923513415506508,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,5,0.263091386984554,2.82607134176219,0.268627734692776,0.400763398433898,"N","N",0.982115315215506,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,6,0.201986842072659,2.82607134176219,0.00254163750402908,0.447568559864381,"N","N",0.745102558531361,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,7,0.334896864514211,2.82607134176219,-0.283440708660078,0.446400201877738,"N","N",0.379609146570712,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,8,0.446126358580359,2.82607134176219,0.241673922996411,0.46444038127974,"N","N",0.69686888591275,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,9,0.114669346251574,2.82607134176219,-0.63043995304306,0.390499543151935,"N","N",0.497169184269503,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,10,0.289060481592743,2.82607134176219,0.374509762379542,0.421548902417454,"N","N",1.16385137158643,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,11,0.384180256607885,2.82607134176219,-0.0177796543303438,0.348167767528095,"N","N",0.399051603588497,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,12,0.24748218454879,2.82607134176219,0.279729337569159,0.381586330645737,"N","N",1.0394099014524,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,13,0.467609367647241,2.82607134176219,-0.0826399066723915,0.381366996920647,"N","N",0.32535071072748,4,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,14,0.16222573109231,2.82607134176219,-0.750882080982603,0.383506827121597,"N","N",0.348599954822321,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,15,0.140784809463251,2.82607134176219,-0.0585944080561831,0.390606653088063,"N","N",0.757894596351239,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,16,0.245652090521121,2.82607134176219,0.0847837085673889,0.367845322235137,"N","N",0.699466017122039,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,17,0.354938381770058,2.82607134176219,0.360511778769673,0.403984743323147,"N","N",1.04358903176323,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,18,0.411985067719686,2.82607134176219,0.740211597942213,0.316058597431226,"N","N",7.72372447946404,6,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,19,0.242814119641852,2.82607134176219,0.0512319517288222,0.410976377734518,"Y","N",0.697520440193354,5,"skip",NA
40,20,0.5,0.5,0,0.1,0.275,-0.45,0.05,0.1,20,0.271076594717608,2.82607134176219,0.162314289840446,0.432669617964717,"N","N",0.801751216067942,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,1,0.288575689391709,2.82607134176219,1.02503321488694,0.43264445059168,"N","N",7.01290860062433,6,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,2,0.371256204187025,2.82607134176219,0.198292088851621,0.36563168056532,"N","N",0.682330845138427,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,3,0.455894442868345,2.82607134176219,0.880931676007054,0.415175225724281,"N","N",5.21347491118818,6,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,4,0.274896649176634,2.82607134176219,-0.0718520764088265,0.344435322210191,"Y","N",0.462521466499137,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,5,0.314575582767105,2.82607134176219,-0.0235642002431161,0.447567553618936,"N","N",0.559471550202926,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,6,0.550368106852125,2.82607134176219,-0.282239751181584,0.346316689820818,"N","N",0.17903221263204,4,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,7,0.222333204188223,2.82607134176219,0.169897379946627,0.39197964364808,"N","N",0.875133813310443,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,8,0.289164375773364,2.82607134176219,0.313474760385679,0.350151833482502,"N","N",1.08082056187633,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,9,0.511326778070634,2.82607134176219,0.246522178366438,0.330839583793585,"N","N",0.601393472724493,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,10,0.27996592967563,2.82607134176219,0.0592855418757379,0.352796733474596,"N","N",0.598576590111573,5,"skip",NA
