"N_subj","N_obs","cell_1","cell_2","cell_3","cell_4","alpha","beta1","beta2","beta3","run","model_grand_mean","model_beta1","model_beta3","model_beta3_se","singular","conv_error","BF_GM","BF_GM_cat","BF_ME","BF_ME_cat"
40,20,0,0,0,0,0,0,0,0,1,0.0340137832135653,-0.264403050922844,0.624038459816568,0.361025138750906,"N","N",1.2946525553938,5,2.29822135420286,5
40,20,0,0,0,0,0,0,0,0,2,0.0162142072802707,-0.00791164815229043,-0.20165776691481,0.323404301196387,"N","N",0.947378514265852,5,0.987676974556277,5
40,20,0,0,0,0,0,0,0,0,3,0.0565638785620614,-0.21548298645445,0.513381766117813,0.342848557053982,"Y","N",1.44205363700675,5,1.8327362246182,5
40,20,0,0,0,0,0,0,0,0,4,-0.147569569214,-0.234490360054552,-0.207960315956688,0.398409303980292,"N","N",0.636810370498578,5,0.706764720415517,5
40,20,0,0,0,0,0,0,0,0,5,-0.000967225690905018,-0.14835303019974,0.893063272023713,0.420147039556617,"N","N",1.00786171734059,5,1.84055033827049,5
40,20,0,0,0,0,0,0,0,0,6,-0.0513231443450197,0.207589061537582,0.158490521517995,0.368909337291427,"N","N",1.05861182416898,5,1.03982266587136,5
40,20,0,0,0,0,0,0,0,0,7,0.218210238937391,-0.0892651234382036,0.389643161996628,0.333937461746901,"N","N",1.53761189102335,5,1.25087254074688,5
40,20,0,0,0,0,0,0,0,0,8,0.0105129691923118,0.124225433202457,0.376513311806834,0.393792175136245,"Y","N",1.0406088650033,5,1.21852963434004,5
40,20,0,0,0,0,0,0,0,0,9,0.108090178179923,-0.170165722834141,0.553586461381245,0.32428884014974,"N","N",2.15998792261518,5,1.90519240946663,5
40,20,0,0,0,0,0,0,0,0,10,-0.0781743371598604,0.30849285090434,0.0303031189661205,0.373258332582232,"N","N",0.945788473835561,5,0.803287078004936,5
40,20,0,0,0,0,0,0,0,0,11,-0.26949554049926,-0.139347598555531,-0.691040527812185,0.380670358097081,"N","N",0.240749060725713,4,0.608446777911854,5
40,20,0,0,0,0,0,0,0,0,12,-0.0625377607241791,-0.146910063560279,-0.00324855107210881,0.332502065063206,"N","N",0.933273900671532,5,0.911997196422422,5
40,20,0,0,0,0,0,0,0,0,13,-0.0182889809779166,-0.126759094153527,-0.0939415966235773,0.411129616545398,"N","N",0.980214137948509,5,0.90655621802885,5
40,20,0,0,0,0,0,0,0,0,14,0.0197439360285815,0.226134764459806,0.327979522396854,0.402048168471224,"N","N",1.06170912022254,5,1.23805374247034,5
40,20,0,0,0,0,0,0,0,0,15,0.071854151784053,0.245142608348987,-0.00681123325690491,0.404796043824833,"N","N",0.938280896102984,5,0.849757493723445,5
40,20,0,0,0,0,0,0,0,0,16,0.183990163674126,-0.130460594828586,0.217385817329319,0.4149773724997,"N","N",1.01085303943291,5,1.08655825370516,5
40,20,0,0,0,0,0,0,0,0,17,-0.04838517422766,-0.035338288733205,0.19980672225412,0.405418642605307,"N","N",1.06838985750903,5,1.03111140304963,5
40,20,0,0,0,0,0,0,0,0,18,0.0692530746445353,-0.105876351804176,-0.284481434345129,0.417540776159127,"Y","N",0.806651392043652,5,0.852568608896413,5
40,20,0,0,0,0,0,0,0,0,19,-0.0998598183613128,-0.200714412447095,-0.031578565240561,0.420469861296363,"Y","N",0.880279183428475,5,0.879858947640512,5
40,20,0,0,0,0,0,0,0,0,20,-0.0754214543195383,0.150134115917745,-0.270824501844427,0.335998429921328,"Y","N",0.714728028509063,5,0.715924929607517,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,1,0.164268406293725,0.207335387655035,0.0992163844616366,0.506781173956568,"N","N",0.915613287568689,5,0.982962653493449,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,2,0.16996991751244,0.126875021011478,-0.126549396023778,0.378792200374141,"N","N",0.627536721785622,5,0.873249666568944,5
