"N_subj","N_obs","cell_1","cell_2","cell_3","cell_4","alpha","beta1","beta2","beta3","run","model_grand_mean","model_beta1","model_beta3","model_beta3_se","singular","conv_error","BF_GM","BF_GM_cat","BF_ME","BF_ME_cat"
200,20,0,0,0,0,0,0,0,0,1,-0.00795815466622795,0.0631221699314575,0.000561653395149019,0.181920335614482,"N","N",0.996415603980986,5,0.945617274719393,5
200,20,0,0,0,0,0,0,0,0,2,-0.0174052041000027,0.00557374459698594,0.134671030675616,0.204274814028421,"N","N",1.07916072484361,5,1.0141613028636,5
200,20,0,0,0,0,0,0,0,0,3,0.00421614278423178,0.0553797209843384,0.146002173294417,0.189960330553226,"N","N",1.02682906397531,5,1.15014800224526,5
200,20,0,0,0,0,0,0,0,0,4,0.0594169616115143,-0.0497267231503305,-0.141947045840105,0.183368535735076,"N","N",0.617039553395291,5,0.826634269870031,5
200,20,0,0,0,0,0,0,0,0,5,0.00540141410256913,-0.0193063045656078,0.181061113995639,0.200113205504544,"N","N",1.0385469231094,5,1.06845949466666,5
200,20,0,0,0,0,0,0,0,0,6,-0.0302339223414368,-0.0341569752499184,-0.111285764829816,0.187939884375982,"N","N",0.828115152121541,5,0.905793926857943,5
200,20,0,0,0,0,0,0,0,0,7,0.0171585740883389,0.106286293956729,-0.0340059787716136,0.16012801187737,"N","N",0.943912190701239,5,0.760021179006072,5
200,20,0,0,0,0,0,0,0,0,8,0.0625930529574219,-0.0317140020335967,-0.0365221262879073,0.1703300218817,"N","N",0.730758806441053,5,0.952965582096937,5
200,20,0,0,0,0,0,0,0,0,9,-0.020775899290655,-0.087746431062436,0.127450378272981,0.177647989513589,"N","N",1.11465710731868,5,1.17845701686578,5
200,20,0,0,0,0,0,0,0,0,10,-0.0428060942964231,0.0766102710027491,0.0661918290322571,0.168205545328693,"N","N",1.0337332524793,5,1.04181603911324,5
200,20,0,0,0,0,0,0,0,0,11,-0.0315160901987938,0.209871694438441,0.0154035836718148,0.162152987030281,"N","N",0.958131706915791,5,0.650565048625972,5
200,20,0,0,0,0,0,0,0,0,12,-0.00816417499662559,0.1374391158579,-0.029393059470191,0.193109322180041,"N","N",0.986356976401578,5,0.760856597235648,5
200,20,0,0,0,0,0,0,0,0,13,-0.0345083571466839,0.0782266936499629,-0.0774951884303002,0.199200139991515,"N","N",0.856335660771864,5,0.834265359634087,5
200,20,0,0,0,0,0,0,0,0,14,0.0359587474182858,-0.0506396046871718,0.0507129174172285,0.173774757041688,"N","N",1.01240887877199,5,1.02600545534915,5
200,20,0,0,0,0,0,0,0,0,15,-0.0557646213976621,-0.0346673364711799,-0.328695378263703,0.176984109985827,"N","N",0.446013180897091,5,0.753714781107339,5
200,20,0,0,0,0,0,0,0,0,16,-0.12534317998767,-0.175465238902165,0.174611677491978,0.156141395225495,"N","N",1.37576153941392,5,1.50351255704145,5
200,20,0,0,0,0,0,0,0,0,17,0.0353951391336702,0.0543118403475601,-0.0596598053920053,0.157452395721885,"N","N",0.808770312368309,5,0.859193465677258,5
200,20,0,0,0,0,0,0,0,0,18,2.93311398004074e-06,-0.0458029210149252,-0.10522995899845,0.195357805605559,"N","N",0.999987068351735,5,0.884758769606043,5
200,20,0,0,0,0,0,0,0,0,19,-0.00283503012791277,-0.0136537955500292,-0.246661440739842,0.178993207209752,"N","N",0.96556448194481,5,0.919063343817879,5
200,20,0,0,0,0,0,0,0,0,20,-0.0100824845617569,-0.191556504505492,0.00433366565016107,0.169442904543983,"N","N",0.995382913653149,5,0.672145760555945,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,1,0.00701242975242253,0.165215772304851,-0.162347313197579,0.181791757709847,"N","N",0.944770683863229,5,0.484757301598156,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,2,0.0169161969677382,-0.0435924232269732,-0.00499520233313916,0.178768264569709,"N","N",0.978541420111959,5,0.966488983522297,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,3,0.00366744631340597,0.150812547734327,0.110829479957431,0.177159784960723,"N","N",1.02015415286039,5,1.08687199552572,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,4,-0.0352269337472979,0.121637807853961,0.144787476616798,0.163265445624194,"N","N",1.24538008045798,5,1.29473400476529,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,5,0.0739061132355569,-0.238734452101197,0.452745259907438,0.161104779573811,"N","N",8.6854672707847,6,16.7318591446941,7
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,6,0.0489357763801035,0.0516314106383412,-0.151274325430408,0.169060780578553,"N","N",0.62501866128259,5,0.786007240273567,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,7,0.0507786873491273,-0.192169069013956,0.338265645702214,0.182753408709868,"N","N",2.13398156807472,5,3.08773848064524,6
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,8,0.0181776787255945,0.0283067519987749,0.577763042334552,0.166323189684613,"N","N",1.98126821201707,5,1.68371863993652,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,9,0.00733913203586037,0.175046989646678,0.329303986360169,0.190290164661108,"N","N",1.11218851096873,5,2.56787381504574,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,10,0.10618429947944,0.217250106149505,-0.00101113541405632,0.195701674113878,"N","N",0.674963414366225,5,0.667915624984472,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,11,0.0225021298936646,0.11636872412671,-0.0706560499797651,0.190147852478864,"N","N",0.909894682068293,5,0.734944298112873,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,12,0.00477298378917235,0.273819489841479,0.0173272700493828,0.195787080599361,"N","N",1.00225301142152,5,0.615844720663029,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,13,0.0528818319848657,0.042177010841168,0.28144575932714,0.181918312140222,"N","N",1.83008963391774,5,1.31777049476559,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,14,-0.0216936524028567,0.170741113414744,0.289100738336657,0.173687628262208,"N","N",1.38143389323404,5,2.47770373711654,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,15,0.0166488515996823,-0.174602758270321,0.0785514902292975,0.183989390229224,"N","N",1.0467653988117,5,0.932583896759926,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,16,-0.0687382557999297,0.0594838528938679,0.250064660467067,0.19038680731817,"N","N",1.69904118737575,5,1.34395990240864,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,17,0.0497905598293309,0.0048181916912056,-0.123214886649965,0.193022238516139,"N","N",0.714603603342886,5,0.987082822022406,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,18,-0.0171256022308693,0.245723283967892,0.0423219613697393,0.173702704301068,"N","N",1.01916254303212,5,0.680992669892294,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,19,-0.0105543004158004,-0.129361874862634,0.10886990402412,0.185508428863322,"N","N",1.04835944232359,5,1.09613046397826,5
200,20,0,0,0,0.1,0.025,0.05,0.05,0.1,20,0.0914200930898956,0.0149956794530444,0.226925270464585,0.163309222147099,"N","N",1.93931739098416,5,1.10516981442491,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,1,0.134254548436107,0.0185994395718048,0.0944152204951317,0.179422988171822,"N","N",0.817852526896628,5,1.03931674531178,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,2,-0.00144212172792399,0.106610247677895,-0.137925081044193,0.188666419317416,"N","N",0.991012251922567,5,0.667233603176615,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,3,0.0527265214467436,-0.0170706631717229,-0.0443933760105235,0.198293118148034,"N","N",0.813850562183826,5,0.981194598794516,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,4,0.0847806358023858,0.173560363793189,0.193587228637315,0.179622759098731,"N","N",1.47197289359954,5,1.47266575642277,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,5,0.0205320435901881,0.0897406422141237,0.384152710087825,0.201089714755448,"N","N",1.36854973854654,5,1.93535398452877,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,6,-0.00837849086553402,0.105673437652411,0.338695892065124,0.189711388961398,"N","N",1.13463652713943,5,2.05566072838774,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,7,-0.0164267689389147,-0.00251990518689074,0.311763671951655,0.184735825203693,"N","N",1.26802186732438,5,1.01857613965309,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,8,0.0143584815425198,0.112425600523584,0.373126634975022,0.175877276576581,"N","N",1.32561909209102,5,2.83086403448517,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,9,-0.0585774695475641,0.12299471145513,0.374987917463746,0.183400644115069,"N","N",2.66695297614825,5,2.7757443254616,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,10,0.125213822790301,-0.00270720985018222,0.244571134548004,0.194193510311005,"N","N",1.69108063910098,5,1.01403632459032,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,11,-0.0138227848059162,-0.00203331817823923,0.051813129942952,0.172084241646909,"N","N",1.02617077017227,5,1.00276920590461,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,12,0.0948193787395087,0.137712368116328,0.182582914748816,0.191461928409407,"N","N",1.33226729630213,5,1.34902642768483,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,13,0.00103643262799115,0.127384957589206,0.132523161944099,0.194000904122424,"N","N",1.00578110152991,5,1.15857996309462,5
200,20,0,0,0,0.2,0.05,0.1,0.1,0.2,14,0.0850509879635863,0.111471240594658,0.112358008682217,0.169501417396747,"N","N",1.07273889347791,5,1.1469448064591,5
