"N_subj","N_obs","cell_1","cell_2","cell_3","cell_4","alpha","beta1","beta2","beta3","run","model_grand_mean","model_beta1","model_beta3","model_beta3_se","singular","conv_error","BF_GM","BF_GM_cat","BF_ME","BF_ME_cat"
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,1,0.0157632966843763,1.28460278038418,0.848471605171977,0.377815904054396,"N","N",1.16461575572251,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,2,-0.114374929097461,1.28460278038418,0.79472986424477,0.342458702629304,"N","N",3.445087094213,6,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,3,0.284746613914177,1.28460278038418,0.786649498077669,0.462863615812788,"N","N",2.73168669534547,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,4,0.190028956748867,1.28460278038418,-0.185767352189222,0.408035447035907,"N","N",0.579903377040742,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,5,0.0769051996191743,1.28460278038418,0.351825493985724,0.438658475030007,"N","N",1.18170985983283,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,6,0.204530282836649,1.28460278038418,0.174340330254192,0.450014038334919,"N","N",0.923067510194503,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,7,0.095342155252967,1.28460278038418,0.825071750063639,0.351849406624115,"N","N",2.84569706987411,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,8,0.16401708985853,1.28460278038418,0.615584386250674,0.343625545279217,"N","N",2.77673522995736,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,9,-0.00534667240494472,1.28460278038418,0.603762458495342,0.386402185518972,"N","N",1.0351183296972,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,10,0.0706708693340744,1.28460278038418,0.352547215882375,0.37430152184535,"N","N",1.24601706456219,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,11,0.0359856104140195,1.28460278038418,0.148017304975366,0.407734792157743,"N","N",1.03631487890042,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,12,0.151942842257915,1.28460278038418,1.33798351092955,0.412954972857221,"N","N",9.88539114305955,6,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,13,0.113455059146488,1.28460278038418,1.17257618093084,0.336153427563506,"N","N",10.8675789070817,7,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,14,0.0434945620959838,1.28460278038418,0.815661961109194,0.421993966573793,"N","N",1.37856037385775,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,15,-0.0812632416208712,1.28460278038418,0.602983930488297,0.443065576711394,"N","N",1.42662183151062,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,16,0.0774145227448564,1.28460278038418,1.21015182243986,0.303390005544239,"N","N",8.91185863685878,6,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,17,-0.0145725639750746,1.28460278038418,0.33167141277776,0.346443174727532,"N","N",1.06351451555193,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,18,0.216124120680941,1.28460278038418,-0.0990460204275802,0.348835405823389,"N","N",0.530067300886184,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,19,0.225531369707298,1.28460278038418,0.533456019633745,0.456426634606956,"N","N",1.58470273040107,5,"skip",NA
40,20,0.5,0,0,0,0.125,-0.25,-0.25,0.5,20,0.174746249523027,1.28460278038418,0.929589794937257,0.333370219622795,"N","N",10.3581203248593,7,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,1,0.168676418090351,1.28460278038418,0.140689734171173,0.395234528626128,"N","N",0.923807664062434,5,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,2,0.14563011385395,1.28460278038418,1.04613049576737,0.35520513078198,"N","N",8.55484403258663,6,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,3,0.131952991607516,1.28460278038418,-0.0271412439240677,0.329578224614368,"N","N",0.749034821240551,5,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,4,0.132019401835864,1.28460278038418,1.24698138077007,0.34540984619649,"N","N",17.3594414026962,7,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,5,0.104831100675732,1.28460278038418,0.29419362113852,0.449239929426774,"Y","N",1.14674649995763,5,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,6,0.149136319235086,1.28460278038418,1.14613916005953,0.359317576855022,"N","N",11.9846698721716,7,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,7,0.19114301997936,1.28460278038418,0.586444205465598,0.395526778284684,"N","N",2.0729841904568,5,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,8,-0.136323621244211,1.28460278038418,0.530632809471193,0.421110061601568,"N","N",1.59764267116205,5,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,9,0.0624045894925283,1.28460278038418,0.599638973981112,0.395408810440709,"N","N",1.42996335689232,5,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,10,0.0364991288046178,1.28460278038418,0.391763991348614,0.519941781201647,"N","N",1.07897062974103,5,"skip",NA
