"N_subj","N_obs","cell_1","cell_2","cell_3","cell_4","alpha","beta1","beta2","beta3","run","model_grand_mean","model_beta1","model_beta3","model_beta3_se","singular","conv_error","BF_GM","BF_GM_cat","BF_ME","BF_ME_cat"
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,1,0.221727297879697,0.0023902222084616,-0.530109389110737,0.391763579747578,"N","N",0.342515173601938,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,2,-0.0558265452798335,0.0023902222084616,-0.41612388069278,0.365824592318133,"N","N",0.747227288090596,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,3,0.0483156115410584,0.0023902222084616,-0.359657006087802,0.40659622856202,"N","N",0.832800232611802,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,4,0.164268552024876,0.0023902222084616,-1.47902994034764,0.433909415806184,"N","N",0.263861679578966,4,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,5,0.134517328801979,0.0023902222084616,-1.1487615986322,0.431116621215589,"N","N",0.362055406237965,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,6,0.252168925487826,0.0023902222084616,-0.093720741564724,0.408376575240341,"N","N",0.547972997924218,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,7,0.226770845129362,0.0023902222084616,-0.345450127890725,0.439359281000195,"N","N",0.465940668361603,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,8,0.0873874702964862,0.0023902222084616,-0.336764262789263,0.411934237406747,"N","N",0.725500301934018,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,9,0.16509529020395,0.0023902222084616,-0.747831503040718,0.443262998539157,"N","N",0.418986024820854,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,10,0.025514389638928,0.0023902222084616,-0.358244111083879,0.357997004195048,"N","N",0.887402110559869,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,11,0.100349999432004,0.0023902222084616,-0.350459616379115,0.416990125594365,"N","N",0.688361194901331,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,12,0.0688445320852285,0.0023902222084616,-0.853586698347183,0.425331806689313,"N","N",0.617111605640089,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,13,0.213622327568177,0.0023902222084616,-0.608726093338309,0.412174044453149,"N","N",0.350272563715676,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,14,0.173465560354543,0.0023902222084616,-0.257935902518148,0.355170144355083,"N","N",0.498820693703134,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,15,0.0504071691630634,0.0023902222084616,-0.458980195268498,0.45257878931123,"N","N",0.825211815475902,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,16,0.0768804825708037,0.0023902222084616,-0.633001143894944,0.431693968630071,"N","N",0.661421201929529,5,"skip",NA
40,20,0,0.5,0,0,0.125,-0.25,0.25,-0.5,17,-0.166098701153188,0.0023902222084616,0.782067577540649,0.416858017548992,"N","N",2.71946936057444,5,"skip",NA
